Time,Source,Destination,Protocol,Length,Source Port,Destination Port,Port 3
0,10.0.0.211,224.0.0.251,MDNS,432,5353,5353,5353
0.000283,fe80::18f7:f823:e2c:549c,ff02::fb,MDNS,452,5353,5353,5353
0.001122,10.0.0.194,10.0.0.60,TCP,78,55001,57883,57883
1.690802,fe80::1c45:ea8d:52c9:f531,fe80::18f7:f823:e2c:549c,ICMPv6,86,,,
1.747063,fe80::18f7:f823:e2c:549c,fe80::1c45:ea8d:52c9:f531,ICMPv6,78,,,
2.150208,10.0.0.144,10.0.0.255,UDP,77,59341,15600,15600
2.150209,fe80::10:18ff:fe35:282b,ff02::1,ICMPv6,174,,,
2.36062,10.0.0.60,142.251.41.2,TCP,54,59063,443,443
2.381096,142.251.41.2,10.0.0.60,TCP,66,443,59063,59063
2.874803,2601:199:67f:9670:900e:b017:a71f:28ae,2607:f8b0:4006:80c::200a,TCP,74,58978,443,443
2.8977,2607:f8b0:4006:80c::200a,2601:199:67f:9670:900e:b017:a71f:28ae,TCP,86,443,58978,58978
3.788623,10.0.0.181,255.255.255.255,UDP,214,55464,6667,6667
3.996614,10.0.0.194,10.0.0.60,TCP,78,55001,57883,57883
4.541995,2601:199:67f:9670:900e:b017:a71f:28ae,2607:f8b0:4006:817::2003,TCP,74,59067,443,443
4.562122,2607:f8b0:4006:817::2003,2601:199:67f:9670:900e:b017:a71f:28ae,TCP,86,443,59067,59067
5.120021,fe80::10:18ff:fe35:282b,ff02::1,ICMPv6,174,,,
6.659445,fe80::18f7:f823:e2c:549c,fe80::1c45:ea8d:52c9:f531,ICMPv6,86,,,
6.659555,fe80::1c45:ea8d:52c9:f531,fe80::18f7:f823:e2c:549c,ICMPv6,78,,,
7.27058,162.159.135.234,10.0.0.60,TLSv1.2,182,443,58849,58849
7.27068,10.0.0.60,162.159.135.234,TCP,54,58849,443,443
7.36082,35.160.229.212,10.0.0.60,TLSv1.2,112,443,59074,59074
7.360926,10.0.0.60,35.160.229.212,TCP,66,59074,443,443
7.361317,10.0.0.60,35.160.229.212,TLSv1.2,112,59074,443,443
